id	x	y	cluster	weight<Links>	weight<Total link strength>
50	-0.3329	-0.7586	1	13	44
51	-0.6713	0.4439	1	13	44
52	-0.3252	0.7628	3	13	44
53	0.2625	0.7706	1	13	44
54	0.2562	-0.7731	4	13	44
55	-0.0115	-0.4741	5	13	44
56	-0.6754	-0.4384	6	13	44
57	-0.8194	0.0036	1	13	44
58	0.3797	-0.0015	2	13	116
59	-0.3141	0.0001	1	13	152
60	0.7067	0.437	2	13	44
61	-0.0099	0.4717	7	13	44
62	0.7032	-0.4419	2	13	44
63	0.8513	-0.0024	2	13	44
